,cell_id,x,y,type,color
0,170808,19886,9330,5,#86cfa5
1,170916,19889,9356,5,#86cfa5
2,170934,19895,9306,5,#86cfa5
3,171024,19912,9110,0,#dd4a4c
4,171025,19907,9187,5,#86cfa5
5,171102,19913,9242,5,#86cfa5
6,171143,19926,9134,0,#dd4a4c
7,171161,19922,9305,5,#86cfa5
8,171233,19928,9210,5,#86cfa5
9,171256,19927,9172,0,#dd4a4c
10,171289,19941,9116,5,#86cfa5
11,171303,19939,9609,5,#86cfa5
12,171348,19951,9421,5,#86cfa5
13,171388,19959,9334,5,#86cfa5
14,171402,19956,9319,5,#86cfa5
15,171417,19951,9532,5,#86cfa5
16,171428,19960,9130,5,#86cfa5
17,171489,19967,9104,5,#86cfa5
18,171490,19974,9188,5,#86cfa5
19,171491,19961,9590,5,#86cfa5
20,171521,19967,9459,5,#86cfa5
21,171533,19975,8933,5,#86cfa5
22,171534,19976,9056,5,#86cfa5
23,171553,19978,9009,5,#86cfa5
24,171554,19977,9238,5,#86cfa5
25,171555,19971,9500,5,#86cfa5
26,171574,19980,9341,5,#86cfa5
27,171581,19983,9540,5,#86cfa5
28,171608,19992,9277,5,#86cfa5
29,171655,20000,9102,5,#86cfa5
30,171663,19992,9046,5,#86cfa5
31,171670,19998,9364,0,#dd4a4c
32,171700,19996,9477,5,#86cfa5
33,171716,20007,9172,0,#dd4a4c
34,171725,20001,9320,5,#86cfa5
35,171770,20016,8789,5,#86cfa5
36,171771,20010,9439,5,#86cfa5
37,171791,20007,8738,5,#86cfa5
38,171805,20018,8903,5,#86cfa5
39,171838,20003,8977,5,#86cfa5
40,171839,20014,9288,0,#dd4a4c
41,171880,20025,9087,0,#dd4a4c
42,171940,20032,8888,5,#86cfa5
43,171967,20040,9397,0,#dd4a4c
44,171982,20031,8727,0,#dd4a4c
45,171983,20040,9219,0,#dd4a4c
46,172008,20040,8751,5,#86cfa5
47,172013,20036,9352,0,#dd4a4c
48,172036,20048,9248,0,#dd4a4c
49,172041,20040,9002,5,#86cfa5
50,172047,20039,9453,0,#dd4a4c
51,172064,20055,8768,0,#dd4a4c
52,172085,20053,9422,0,#dd4a4c
53,172118,20072,9208,0,#dd4a4c
54,172119,20056,9321,0,#dd4a4c
55,172129,20044,9556,0,#dd4a4c
56,172137,20052,9120,0,#dd4a4c
57,172142,20061,9594,0,#dd4a4c
58,172181,20058,9532,0,#dd4a4c
59,172185,20063,9269,0,#dd4a4c
60,172200,20063,8872,5,#86cfa5
61,172201,20065,9055,0,#dd4a4c
62,172230,20070,8985,0,#dd4a4c
63,172231,20066,9172,0,#dd4a4c
64,172233,20068,9299,0,#dd4a4c
65,172247,20083,8730,5,#86cfa5
66,172253,20078,9093,0,#dd4a4c
67,172264,20080,8779,5,#86cfa5
68,172299,20075,8836,5,#86cfa5
69,172300,20082,8908,5,#86cfa5
70,172301,20093,8963,0,#dd4a4c
71,172302,20081,9238,0,#dd4a4c
72,172303,20065,9368,0,#dd4a4c
73,172318,20077,9572,0,#dd4a4c
74,172336,20081,8673,5,#86cfa5
75,172341,20080,9405,0,#dd4a4c
76,172342,20089,9491,0,#dd4a4c
77,172370,20087,9531,0,#dd4a4c
78,172383,20084,9018,0,#dd4a4c
79,172385,20084,9451,0,#dd4a4c
80,172392,20093,9643,5,#86cfa5
81,172399,20100,8854,0,#dd4a4c
82,172418,20098,8810,0,#dd4a4c
83,172419,20082,9348,0,#dd4a4c
84,172433,20097,9590,5,#86cfa5
85,172439,20105,8911,0,#dd4a4c
86,172440,20097,9060,0,#dd4a4c
87,172460,20098,9165,0,#dd4a4c
88,172467,20106,8634,5,#86cfa5
89,172468,20099,9223,0,#dd4a4c
90,172502,20108,9037,0,#dd4a4c
91,172506,20100,9306,0,#dd4a4c
92,172518,20119,9102,0,#dd4a4c
93,172519,20104,9283,0,#dd4a4c
94,172531,20119,9531,0,#dd4a4c
95,172551,20113,9124,0,#dd4a4c
96,172563,20118,9569,0,#dd4a4c
97,172573,20118,9426,0,#dd4a4c
98,172574,20124,9457,0,#dd4a4c
99,172575,20120,9602,0,#dd4a4c
100,172585,20132,8951,0,#dd4a4c
101,172593,20116,9002,0,#dd4a4c
102,172617,20122,9077,0,#dd4a4c
103,172618,20125,9472,0,#dd4a4c
104,172643,20130,9673,0,#dd4a4c
105,172668,20140,9012,0,#dd4a4c
106,172669,20141,9622,0,#dd4a4c
107,172684,20131,9264,0,#dd4a4c
108,172694,20118,9191,0,#dd4a4c
109,172695,20127,9398,5,#86cfa5
110,172708,20132,8710,5,#86cfa5
111,172738,20138,9155,0,#dd4a4c
112,172741,20128,9315,0,#dd4a4c
113,172747,20144,8607,5,#86cfa5
114,172754,20141,9494,0,#dd4a4c
115,172784,20139,8635,0,#dd4a4c
116,172785,20131,9375,0,#dd4a4c
117,172803,20152,8976,0,#dd4a4c
118,172804,20149,9510,5,#86cfa5
119,172817,20158,8905,0,#dd4a4c
120,172818,20142,9244,0,#dd4a4c
121,172819,20145,9533,0,#dd4a4c
122,172820,20147,9831,5,#86cfa5
123,172830,20130,8668,5,#86cfa5
124,172831,20156,8777,5,#86cfa5
125,172837,20149,9584,0,#dd4a4c
126,172843,20151,9198,0,#dd4a4c
127,172860,20147,9119,0,#dd4a4c
128,172861,20162,9558,0,#dd4a4c
129,172868,20154,9304,0,#dd4a4c
130,172874,20157,9075,0,#dd4a4c
131,172881,20152,8751,0,#dd4a4c
132,172887,20157,8832,0,#dd4a4c
133,172895,20156,9034,0,#dd4a4c
134,172903,20157,9096,0,#dd4a4c
135,172919,20165,9633,0,#dd4a4c
136,172928,20178,9128,0,#dd4a4c
